ncm;nac;imp;est;mun
0402;13.45;15.45;0.00;2.62
04021010;13.45;30.76;18.00;0.00
04021090;13.45;30.76;18.00;0.00
04022110;13.45;30.76;18.00;0.00
04022120;13.45;30.76;18.00;0.00
04022130;13.45;24.26;18.00;0.00
04022910;13.45;30.76;18.00;0.00
04022920;13.45;30.76;18.00;0.00
04022930;13.45;24.26;18.00;0.00
04029100;13.45;23.28;12.00;0.00
04029900;13.45;30.76;12.00;0.00
0403;13.45;15.45;0.00;2.57
04032000;13.45;24.26;18.00;0.00
04039000;13.45;24.26;18.00;0.00
0404;13.45;15.45;0.00;2.76
04041000;13.45;30.76;18.00;0.00
04049000;13.45;23.28;18.00;0.00
0405;13.45;15.45;0.00;2.76
04051000;13.45;24.26;18.00;0.00
04052000;13.45;24.26;18.00;0.00
04059010;13.45;24.26;18.00;0.00
04059090;13.45;24.26;18.00;0.00
0406;13.45;15.45;0.00;2.76
04061010;13.45;30.76;18.00;0.00
04061090;13.45;24.26;18.00;0.00
04062000;13.45;24.26;18.00;0.00
04063000;13.45;24.26;18.00;0.00
04064000;13.45;24.26;18.00;0.00
04069010;13.45;30.76;18.00;0.00
04069020;13.45;30.76;18.00;0.00
04069030;13.45;24.26;18.00;0.00
04069090;13.45;24.26;18.00;0.00
0407;13.45;15.45;0.00;2.76
04071100;13.45;15.45;18.00;0.00
04071900;13.45;15.45;18.00;0.00
04072100;13.45;20.15;18.00;0.00
04072900;13.45;20.15;18.00;0.00
04079000;13.45;20.15;18.00;0.00
0408;13.45;15.45;0.00;2.76
04081100;13.45;21.23;18.00;0.00
04081900;13.45;21.23;18.00;0.00
04089100;13.45;21.23;18.00;0.00
04089900;13.45;21.23;18.00;0.00
0409;13.45;15.45;0.00;2.76
04090000;13.45;24.26;7.00;0.00
0410;13.45;15.45;0.00;2.76
04101000;13.45;23.28;18.00;0.00
04109000;13.45;23.28;7.00;0.00
0411;13.45;15.45;0.00;2.76
0412;13.45;15.45;0.00;2.76
0413;13.45;15.45;0.00;2.72
0414;13.45;15.45;0.00;2.76
0415;13.45;15.45;0.00;2.76
0416;13.45;15.45;0.00;2.72
0417;13.45;15.45;0.00;2.56
0418;13.45;15.45;0.00;2.80
0419;13.45;15.45;0.00;2.80
0420;13.45;15.45;0.00;2.80
0421;13.45;15.45;0.00;2.57
0422;13.45;15.45;0.00;2.81
